,Alanine (g),"Alcohol, ethyl (g)",Arginine (g),Ash (g),Aspartic acid (g),Beta-sitosterol (g),Betaine (g),Butanoic acid (g),Caffeine (g),"Calcium, Ca (g)",Calories (g),Campesterol (g),Carbohydrate (g),"Carotene, alpha (g)","Carotene, beta (g)",Cholesterol (g),Choline (g),"Cis,cis,cis-octadecatrienoic n-3 acid (g)","Cis,cis,cis-octadecatrienoic n-6 acid (g)","Cis,cis-eicosadienoic n-6 acid (g)","Cis,cis-octadecadienoic n-6 acid (g)",Cis-hexadecenoic acid (g),Cis-octadecenoic acid (g),"Copper, Cu (g)","Cryptoxanthin, beta (g)",Cystine (g),Decanoic acid (g),Dihydrophylloquinone (g),Docosahexaenoic n-3 acid (g),Docosanoic acid (g),Docosapentaenoic n-3 acid (g),Docosatetraenoic acid (g),Docosenoic acid (g),Docosenoic cis acid (g),Docosenoic trans acid (g),Dodecanoic acid (g),Eicosadienoic acid (g),Eicosadienoic n-3 acid (g),Eicosadienoic n-6 acid (g),Eicosanoic acid (g),Eicosapentaenoic n-3 acid (g),Eicosatetraenoic acid (g),Eicosenoic acid (g),Fat (g),"Fatty acids, total trans (g)","Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",Fiber (g),"Fluoride, F (g)",Folate (g),Folic acid (g),Fructose (g),Galactose (g),Glucose (dextrose) (g),Glutamic acid (g),Glycine (g),Heptadecanoic acid (g),Heptadecenoic acid (g),Hexadecanoic acid (g),Hexadecenoic acid (g),Hexanoic acid (g),Histidine (g),Hydroxyproline (g),Irans-Octadecadienoic acid (g),"Iron, Fe (g)",Isoleucine (g),Lactose (g),Leucine (g),Lutein + zeaxanthin (g),Lycopene (g),Lysine (g),"Magnesium, Mg (g)",Maltose (g),"Manganese, Mn (g)",Menaquinone-4 (g),Methionine (g),Monounsaturated fatty acids (g),Niacin (g),Octadecadienoic CLAs acid (g),Octadecadienoic acid (g),Octadecanoic acid (g),Octadecatetraenoic acid (g),Octadecatrienoic acid (g),Octadecenoic acid (g),Octanoic acid (g),Pantothenic acid (g),Pentadecanoic acid (g),Pentadecenoic acid (g),Phenylalanine (g),"Phosphorus, P (g)",Phytosterols (g),Polyunsaturated fatty acids (g),"Potassium, K (g)",Proline (g),Protein (g),Riboflavin (g),Saturated fatty acids (g),"Selenium, Se (g)",Serine (g),Serving Size (g),"Sodium, Na (g)",Starch (g),Stigmasterol (g),Sucrose (g),Sugars (g),Tetracosanoic acid (g),Tetracosenoic cis acid (g),Tetradecanoic acid (g),Tetradecenoic acid (g),Theobromine (g),Thiamin (g),Threonine (g),"Tocopherol, alpha (g)","Tocopherol, beta (g)","Tocopherol, delta (g)","Tocopherol, gamma (g)","Tocotrienol, alpha (g)","Tocotrienol, beta (g)","Tocotrienol, delta (g)","Tocotrienol, gamma (g)","Trans,trans-octadecadienoic acid (g)",Trans-hexadecenoic acid (g),Trans-octadecadienoic acid (g),Trans-octadecatrienoic acid (g),Trans-octadecenoic acid (g),Tridecanoic acid (g),Tryptophan (g),Tyrosine (g),Uncosapentaenoic acid (g),Valine (g),Vitamin A (IU),"Vitamin A, RAE (g)",Vitamin B12 (g),Vitamin B6 (g),Vitamin C (g),Vitamin D (IU),Vitamin D2 (ergocalciferol) (g),Vitamin D3 (cholecalciferol) (g),Vitamin E (g),Vitamin K (g),Water (g),"Zinc, Zn (g)"
"APPLEBEE'S, Double Crunch Shrimp",0.622,0.0,0.894,2.71,1.075,0.0,0.0,0.0,0.0,0.045,0.0,0.0,25.96,0.0,0.0,0.08600000000000001,0.050100000000000006,0.977,0.09,0.01,8.379,0.033,4.018,0.00014000000000000001,0.0,0.167,0.005,0.0,0.03,0.063,0.004,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.065,0.034,0.03,0.131,18.9,0.147,0.042,0.105,2.6,0.0,1.4e-05,0.0,0.2,0.0,0.07,2.68,0.582,0.022,0.011,1.991,0.035,0.0,0.263,0.0,0.0,0.00103,0.526,0.0,0.959,0.0,0.0,0.829,0.023,0.5,0.00028100000000000005,0.0,0.282,4.235,0.0009000000000000001,0.021,8.505,1.163,0.0,1.067,4.058,0.006,0.00034,0.006,0.0,0.55,0.271,0.0,9.682,0.097,0.792,12.31,8.9e-05,3.366,2.66e-05,0.486,100.0,0.838,22.8,0.0,0.3,1.07,0.023,0.0,0.02,0.0,0.0,8.999999999999999e-05,0.447,0.00197,0.00022,0.00335,0.008310000000000001,0.0,0.0,0.0,0.0,0.0,0.002,0.105,0.0,0.04,0.0,0.139,0.415,0.0,0.548,5.0,2e-06,4.2999999999999996e-07,5.5e-05,0.0,0.0,0.0,0.0,0.00197,2.91e-05,40.12,0.0007800000000000001
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,68.16,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.05,3.36,0.0,0.0,2.1,0.0,5.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.00199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.159,0.0,4.67,0.00017,2.76,0.0,0.0,100.0,0.331,0.0,0.0,0.0,34.27,0.0,0.0,0.0,0.0,0.0,0.00028000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49,0.0
"Alcoholic beverage, light, beer",0.01,3.1,0.0,0.09,0.013,0.0,0.0,0.0,0.0,0.004,0.0,0.0,1.64,0.0,0.0,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5299999999999997e-05,6e-06,0.0,0.0,0.0,0.09,0.039,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,6e-06,0.0,0.0,0.0,0.000391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.0,0.0,0.012,0.0,0.0,0.021,0.029,0.24,1.5e-05,0.0,4e-07,0.0,100.0,0.004,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-08,3.4000000000000007e-05,0.0,0.0,0.0,0.0,0.0,0.0,94.88,1e-05
"Alcoholic beverage, white, table, wine",0.0,10.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,2.6,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.00011700000000000001,0.0,0.0,0.0,0.000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4999999999999996e-05,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.07100000000000001,0.0,0.07,1.5e-05,0.0,1e-07,0.0,100.0,0.005,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,4e-07,86.86,0.00012
"Apples, with skin, fuji, raw",0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,15.22,0.0,1.7e-05,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,2.1,0.0,3e-06,0.0,6.47,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,1.1e-05,0.0,0.0,0.005,0.0,3.1e-05,0.0,0.0,0.0,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1e-05,0.0,0.0,0.0,0.013000000000000001,0.0,0.0,0.109,0.0,0.2,2.6e-05,0.0,0.0,0.0,100.0,0.001,0.05,0.0,2.21,11.68,0.0,0.0,0.0,0.0,0.0,1.3e-05,0.0,0.00017999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2e-06,0.0,4.4999999999999996e-05,0.0,0.0,0.0,0.0,0.00017999999999999998,1e-06,84.16,4e-05
"Apples, with skin, raw",0.011,0.0,0.006,0.0,0.07,0.0,0.0001,0.0,0.0,0.006,0.0,0.0,13.81,0.0,2.7e-05,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,1.1e-05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,2.4,3.2999999999999997e-06,3e-06,0.0,5.9,0.0,2.43,0.025,0.009,0.0,0.0,0.024,0.0,0.0,0.005,0.0,0.0,0.00012,0.006,0.0,0.013,2.9e-05,0.0,0.012,0.005,0.0,3.5000000000000004e-05,0.0,0.001,0.007,9.1e-05,0.0,0.043,0.003,0.0,0.009,0.007,0.0,6.1e-05,0.0,0.0,0.006,0.011,0.012,0.051,0.107,0.006,0.26,2.6e-05,0.028,0.0,0.01,100.0,0.001,0.05,0.0,2.07,10.39,0.0,0.0,0.001,0.0,0.0,1.7000000000000003e-05,0.006,0.00017999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.012,54.0,3e-06,0.0,4.1e-05,0.0046,0.0,0.0,0.0,0.00017999999999999998,2.2e-06,0.0,4e-05
"Apples, without skin, raw",0.012,0.0,0.006,0.0,0.074,0.0,0.0,0.0,0.0,0.005,0.0,0.0,12.76,0.0,1.7e-05,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-05,1.3e-05,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,1.3,0.0,0.0,0.0,6.03,0.0,3.25,0.026,0.009,0.0,0.0,0.017,0.0,0.0,0.005,0.0,0.0,7.000000000000001e-05,0.006,0.0,0.014,1.8e-05,0.0,0.013,0.004,0.0,3.8e-05,0.0,0.001,0.005,9.1e-05,0.0,0.031,0.002,0.0,0.007,0.005,0.0,7.099999999999999e-05,0.0,0.0,0.007,0.011,0.0,0.037,0.09,0.006,0.27,2.8e-05,0.021,0.0,0.011,100.0,0.0,0.0,0.0,0.82,10.1,0.0,0.0,0.0,0.0,0.0,1.9e-05,0.006,5e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.012,38.0,2e-06,0.0,3.7e-05,0.004,0.0,0.0,0.0,5e-05,6e-07,0.0,5e-05
"Asparagus, drained solids, canned",0.101,0.0,0.1,0.77,0.248,0.0,0.0007,0.0,0.0,0.016,0.0,0.0,2.46,0.0,0.000493,0.0,0.0214,0.0,0.0,0.0,0.0,0.0,0.0,9.6e-05,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,1.6,0.0,9.6e-05,0.0,0.0,0.0,0.0,0.35,0.069,0.0,0.0,0.132,0.004,0.0,0.033,0.0,0.0,0.00183,0.079,0.0,0.093,0.0006299999999999999,2.4e-05,0.101,0.01,0.0,0.00017,0.0,0.021,0.021,0.000954,0.0,0.269,0.009,0.0,0.015,0.017,0.0,0.00013900000000000002,0.0,0.0,0.051,0.043000000000000003,0.0,0.284,0.17200000000000001,0.114,2.14,0.0001,0.147,1.6999999999999998e-06,0.081,100.0,0.28700000000000003,0.0,0.0,0.0,1.06,0.0,0.0,0.004,0.0,0.0,6.1e-05,0.06,0.00122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.034,0.0,0.082,822.0,4.1e-05,0.0,0.00011,0.0184,0.0,0.0,0.0,0.00122,4.1299999999999994e-05,93.98,0.0004
"Asparagus, raw",0.115,0.0,0.091,0.58,0.508,0.0,0.0006,0.0,0.0,0.024,0.0,0.0,3.88,9e-06,0.00044899999999999996,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.000189,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,2.1,0.0,5.2e-05,0.0,1.0,0.0,0.65,0.233,0.093,0.0,0.0,0.04,0.0,0.0,0.049,0.0,0.0,0.00214,0.075,0.0,0.128,0.00071,0.0,0.104,0.014,0.0,0.000158,0.0,0.031,0.0,0.000978,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.00027400000000000005,0.0,0.0,0.075,0.052000000000000005,0.024,0.05,0.202,0.071,2.2,0.00014099999999999998,0.04,2.2999999999999996e-06,0.106,100.0,0.002,0.0,0.0,0.23,1.88,0.0,0.0,0.0,0.0,0.0,0.00014299999999999998,0.084,0.00113,0.0,0.0,8.999999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.052,0.0,0.115,756.0,3.7999999999999995e-05,0.0,9.1e-05,0.0056,0.0,0.0,0.0,0.00113,4.16e-05,93.22,0.00054
"Asparagus, unprepared, frozen",0.152,0.0,0.151,0.62,0.374,0.0,0.0,0.0,0.0,0.025,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013700000000000002,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,1.9,0.0,0.00019099999999999998,0.0,0.0,0.0,0.0,0.528,0.105,0.0,0.0,0.047,0.001,0.0,0.05,0.0,0.0,0.00073,0.119,0.0,0.14,0.0,0.0,0.153,0.014,0.0,0.00020300000000000003,0.0,0.031,0.007,0.001202,0.0,0.096,0.003,0.0,0.005,0.006,0.0,0.000184,0.0,0.0,0.076,0.064,0.0,0.101,0.253,0.171,3.23,0.000131,0.052,1.6999999999999998e-06,0.123,100.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.000121,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.051,0.0,0.124,948.0,4.7e-05,0.0,0.000111,0.0318,0.0,0.0,0.0,0.0,0.0,91.82,0.00059
