,Serving,Calories,Total Fat (g),Saturated Fat (g),Polyunsaturated Fat (g),Monounsaturated Fat (g),Cholesterol (g),Sodium (g),Total Carbohydrate (g),Sugars (g),Protein (g),Calcium (g),Potassium (g),Iron (g),Vitamin A (g),Vitamin C (g),Dietary Fiber (g),Caffeine (g),Trans Fat (g),Alcohol (g)
Plain Fat-Free Yogurt,cup (8.6 oz),137.0,0.4,0.3,0.0,0.1,0.005,0.189,18.8,18.8,14.0,0.488,0.625,0.0,0.012,0.002,,,,
Plain Yogurt,cup (8.6 oz),149.0,8.0,5.1,0.2,2.2,0.032,0.113,11.4,11.4,8.5,0.296,0.38,0.0,0.245,0.001,,,,
Plain Low-Fat Yogurt,cup (8.6 oz),154.0,3.8,2.5,0.1,1.0,0.015,0.172,17.2,17.2,12.9,0.448,0.573,0.0,0.123,0.002,,,,
Whole-Grain Triticale Flour,tablespoon (0.3 oz),27.0,0.1,0.0,0.0,0.0,,0.0,5.9,,1.1,0.003,0.038,0.0,,,1.2,,,
Bob's Red Mill Whole Wheat Flour,"serving, 1/4 cup (1.2 oz)",110.0,0.5,,,,,,23.0,0.5,4.0,,0.112,0.001,,,4.0,,,
Bob's Red Mill Organic Whole Wheat Flour,"serving, 1/4 cup (1.2 oz)",110.0,0.5,,,,,,23.0,0.5,4.0,,0.13,0.001,,,4.0,,,
Cider Vinegar,tablespoon (0.5 oz),3.0,,,,,,0.0,0.1,0.0,,0.001,0.011,0.0,,,,,,
Musselman's Apple Cider,tablespoon,0.0,,,,,,,,,,,,,,,,,,
Spectrum Organic Apple Cider Vinegar: Filtered or Unfiltered,tablespoon (0.5 fl. oz),7.0,,,,,,,2.0,,,,,,,,,,,
"Asparagus, boiled",cup (6.3 oz),40.0,0.4,0.1,0.2,0.0,,0.025,7.4,2.3,4.3,0.041,0.403,0.002,1.809,0.014,3.6,,,
"Asparagus, raw",cup (4.7 oz),27.0,0.2,0.0,0.1,0.0,,0.003,5.3,2.5,2.9,0.032,0.271,0.003,1.012,0.007,2.8,,,
"Asparagus, canned, drained","spear, 5"" long (0.6 oz)",3.0,0.1,0.0,0.0,0.0,,0.052,0.5,0.2,0.4,0.003,0.031,0.0,0.148,0.003,0.3,,,
"Cappuccino, whole milk",cup (8 fl. oz),73.0,4.0,2.0,,,0.01,0.047,6.0,5.3,4.0,0.134,,,0.134,,,0.05,,
"Caffe Latte, whole milk",cup (8 fl. oz),136.0,7.0,4.4,,,0.03,0.104,11.0,9.6,7.0,0.24,,,0.3,,,,,
Ground Coffee,fl.oz (1 oz),0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.015,0.0,,,,0.012,,
"Red Potatoes, baked, flesh & skin","small, 2"" dia. (4.9 oz)",123.0,0.2,0.0,0.0,0.0,,0.011,27.0,2.0,3.2,0.012,0.752,0.0,0.014,0.017,2.5,,,
"Red Potatoes, raw, flesh & skin","cup, diced (5.3 oz)",108.0,0.2,0.0,0.0,0.0,,0.009,23.9,1.5,2.8,0.015,0.683,0.001,0.008,0.03,2.6,,,
"Idahoan Baby Reds, Mashed Potatoes",cup prepared (2 oz),220.0,5.0,4.0,,,,0.78,42.0,4.0,4.0,0.04,,0.0,,0.007,2.0,,,
Oscar Mayer P3: Peanut Almond Clusters with Mild Cheddar Cheese & Brown Sugar Ham Portable Protein Pack,package,200.0,12.0,4.0,,,0.025,0.44,11.0,6.0,11.0,0.15,,0.0,0.2,0.005,1.0,,,
Blue Diamond Cinnamon Brown Sugar 100 Calorie Pack Oven Roasted Almonds,bag (0.6 oz),100.0,8.0,0.5,,,,0.015,4.0,2.0,3.0,0.04,0.115,0.0,,,2.0,,,
"Essential Everyday Variety Pack Cinnamon & Spice, Raisins & Spice, Apples & Cinnamon, Maple & Brown Sugar, Original Flavor",packet (1 oz),100.0,1.5,,,,,0.08,18.0,1.0,4.0,0.1,,0.008,1.0,,3.0,,,
"Egg White, cooked, without added fat",large (1.2 oz),17.0,0.0,,,,,0.055,0.2,0.2,3.6,0.002,0.054,0.0,,,,,,
"Egg White, raw",large (1.2 oz),17.0,0.0,,,,,0.055,0.2,0.2,3.6,0.002,0.054,0.0,,,,,,
"White, hard-boiled",large egg,17.0,0.1,,,,,0.05,0.2,,3.6,,0.051,,,,,,,
"P.F. Chang's Salt & Pepper Prawns, without rice",order,500.0,22.0,2.0,,,0.167,2.98,37.0,14.0,32.0,,,,,,4.0,,,
P.F. Chang's Salt & Pepper Calamari. without sauce,dish,609.0,37.0,4.0,,,,1.25,44.0,,26.0,,,,,,1.0,,,
"P.F. Chang's For Salt & Pepper Calamari, Chili Bean Sauce",serving (2 oz),45.0,0.5,,,,,0.46,7.0,,,,,,,,,,,
Food Lion Sliced Baby Bella Mushrooms,serving (3 oz),19.0,0.3,0.0,0.0,,,0.008,3.3,2.1,1.8,0.003,0.309,0.0,,,1.1,,,
Food Lion Sliced Mushrooms,cup (9.2 oz),80.0,,,,,,0.78,14.0,,4.0,0.04,,0.002,,,,,,
Spartan Mushrooms Sliced Button,cup (9.2 oz),50.0,,,,,,0.72,6.0,,6.0,,,0.001,,0.002,4.0,,,
"Red Sweet Peppers, raw","cup, chopped (5.3 oz)",39.0,0.4,0.0,0.2,0.0,,0.003,9.4,6.3,1.5,0.01,0.314,0.0,4.664,0.283,3.1,,,
"Red Sweet Peppers, sauteed",serving (3.5 oz),133.0,12.8,1.6,5.7,2.3,,0.021,6.6,4.3,1.0,0.007,0.193,0.0,2.76,0.163,1.8,,,
Roasted Red Bell Pepper Bruschetta,"slice, 2.25"" x 3.25"" x 0.75""",105.0,6.9,1.0,,,,0.146,8.9,1.0,1.7,,,,,,0.5,,,
Swiss Cheese,slice (1 oz),106.0,7.8,5.0,0.3,2.0,0.026,0.054,1.5,0.4,7.5,0.221,0.022,0.0,0.232,,,,,
"Firm, Hard, Regular","cube, 1"" (0.6 oz)",68.0,5.6,3.6,0.2,1.6,0.018,0.106,0.2,0.0,4.2,0.123,0.017,0.0,0.17,,,,,
Low-Fat Swiss Cheese,slice (1 oz),50.0,1.4,0.9,0.0,0.4,0.01,0.073,1.0,0.4,8.0,0.269,0.031,0.0,0.042,,,,,
"Scrambled Eggs, 2 large eggs w. 1 tbsp milk and 1 tsp fat",meal,197.0,15.0,4.0,,,0.426,0.146,1.5,1.6,13.5,,,,,,,,,
"Whole Egg, hard-boiled",large (1.8 oz),77.0,5.3,1.6,0.7,2.0,0.212,0.062,0.6,0.6,6.3,0.025,0.063,0.0,0.293,,,,,
"Whole Egg, raw, fresh",large [2 oz with shell] (1.8 oz),71.0,4.8,1.6,1.0,1.8,0.186,0.071,0.4,0.2,6.3,0.028,0.069,0.0,0.27,,,,0.0,
McCormick Garlic Salt,teaspoon (0.2 oz),0.0,,,,,,1.96,,,,,,,,,,,,
McCormick Garlic Sea Salt Grinder,teaspoon (0.1 oz),0.0,,,,,,0.5,,,,,,,,,,,,
McCormick California Style Garlic Salt with Parsley,teaspoon (0.1 oz),0.0,,,,,,0.88,,,,,,,,,,,,
Low-Fat Cottage Cheese (1% milkfat),"cup, not packed (8 oz)",163.0,2.3,1.5,0.0,0.7,0.009,0.918,6.1,6.1,28.0,0.138,0.194,0.0,0.09,,,,,
Reduced-Fat Cottage Cheese (2% milkfat),"cup, not packed (8 oz)",203.0,4.4,2.8,0.1,1.2,0.018,0.918,8.2,0.7,31.1,0.156,0.217,0.0,0.181,,,,,
Creamed Cottage Cheese,"cup, small curd, not packed (7.9 oz)",232.0,10.1,6.4,0.3,2.9,0.034,0.911,6.0,0.7,28.1,0.135,0.189,0.0,0.371,,,,,
Kettle Krinkle Cut Salt & Fresh Ground Pepper Potato Chips,"serving, 9 chips (1 oz)",140.0,9.0,1.0,1.0,7.0,,0.16,16.0,,2.0,,0.42,0.0,,0.006,1.0,,,
Kettle Salt & Fresh Ground Pepper Baked Potato Chips,"serving, 20 chips (1 oz)",120.0,3.0,0.5,0.5,2.0,,0.11,21.0,,3.0,,0.43,0.0,,0.009,2.0,,,
Sizzler Green Bell Pepper Strips,serving,5.0,,,,,,0.0,1.1,0.6,0.2,,,,0.1,0.019,0.4,,,
"Subway Chicken & Bacon Ranch Melt Chopped Salad, with Ranch Dressing",salad (15.7 oz),540.0,40.0,12.0,,,0.1,1.29,15.0,9.0,32.0,0.3,,0.003,3.0,0.036,4.0,,1.0,
"Subway 6 Grams of Fat or Less: Veggie Delite Chopped Salad, without dressing",salad (10.1 oz),60.0,1.0,,,,,0.08,11.0,6.0,3.0,0.06,,0.001,2.5,0.03,4.0,,,
Instant Vanilla Pudding Mix,"portion, makes 1 cup (1.8 oz)",188.0,0.3,0.2,0.0,0.0,,0.721,46.5,46.5,,0.006,0.006,0.0,,,,,,
"Instant Chocolate Pudding Mix, prepared with 2% milk",cup (10 oz),298.0,5.5,3.0,0.4,1.6,0.017,0.807,53.6,,8.9,0.295,0.477,0.001,0.483,0.002,1.1,0.003,,
"Instant Banana Pudding Mix, prepared with 2% milk",cup (10.4 oz),308.0,5.0,2.9,0.3,1.4,0.018,0.87,58.0,,8.1,0.3,0.385,0.0,0.5,0.002,,,,
"Parsley, raw",sprig,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.001,0.006,0.0,0.084,0.001,0.0,,,
"Parsley, dried",teaspoon,1.0,0.0,0.0,0.0,0.0,,0.001,0.2,0.0,0.0,0.004,0.011,0.0,0.031,0.0,0.0,,,
"Whole Foods Market Cold-Pressed Juice, Broccoli, Celery, Cucumber, Green Cabbage, Kale, Lemon, Lime, Parsley, Romaine, Spinach, Wheatgrass",fl oz (1 fl. oz),11.0,,,,,,0.006,1.6,0.1,0.6,0.022,,0.0,0.406,0.02,0.1,,,
"Reduced Sodium Chicken Broth, canned",cup (8.5 oz),17.0,,,,,,0.554,0.9,0.5,3.3,0.019,0.204,0.0,,0.001,,,,
