,Serving,Calories,Total Fat,Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Sugars,Protein,Calcium,Potassium,Iron,Vitamin A,Vitamin C,Dietary Fiber,Caffeine,Trans Fat,Alcohol
Plain Fat-Free Yogurt,cup (8.6 oz),137,0.4 g,0.3 g,< 0.1 g,0.1 g,5 mg,189 mg,18.8 g,18.8 g,14 g,488 mg,625 mg,< 1 mg,12 mg,2 mg,,,,
Plain Yogurt,cup (8.6 oz),149,8 g,5.1 g,0.2 g,2.2 g,32 mg,113 mg,11.4 g,11.4 g,8.5 g,296 mg,380 mg,< 1 mg,245 mg,1 mg,,,,
Plain Low-Fat Yogurt,cup (8.6 oz),154,3.8 g,2.5 g,0.1 g,1 g,15 mg,172 mg,17.2 g,17.2 g,12.9 g,448 mg,573 mg,< 1 mg,123 mg,2 mg,,,,
Whole-Grain Triticale Flour,tablespoon (0.3 oz),27,0.1 g,< 0.1 g,< 0.1 g,< 0.1 g,,< 1 mg,5.9 g,,1.1 g,3 mg,38 mg,< 1 mg,,,1.2 g,,,
Bob's Red Mill Whole Wheat Flour,"serving, 1/4 cup (1.2 oz)",110,0.5 g,,,,,,23 g,0.5 g,4 g,,112 mg,1 mg,,,4 g,,,
Bob's Red Mill Organic Whole Wheat Flour,"serving, 1/4 cup (1.2 oz)",110,0.5 g,,,,,,23 g,0.5 g,4 g,,130 mg,1 mg,,,4 g,,,
Cider Vinegar,tablespoon (0.5 oz),3,,,,,,< 1 mg,0.1 g,< 0.1 g,,1 mg,11 mg,< 1 mg,,,,,,
Musselman's Apple Cider,tablespoon,0,,,,,,,,,,,,,,,,,,
Spectrum Organic Apple Cider Vinegar: Filtered or Unfiltered,tablespoon (0.5 fl. oz),7,,,,,,,2 g,,,,,,,,,,,
"Asparagus, boiled",cup (6.3 oz),40,0.4 g,0.1 g,0.2 g,< 0.1 g,,25 mg,7.4 g,2.3 g,4.3 g,41 mg,403 mg,2 mg,1809 mg,14 mg,3.6 g,,,
"Asparagus, raw",cup (4.7 oz),27,0.2 g,< 0.1 g,0.1 g,< 0.1 g,,3 mg,5.3 g,2.5 g,2.9 g,32 mg,271 mg,3 mg,1012 mg,7 mg,2.8 g,,,
"Asparagus, canned, drained","spear, 5"" long (0.6 oz)",3,0.1 g,< 0.1 g,< 0.1 g,< 0.1 g,,52 mg,0.5 g,0.2 g,0.4 g,3 mg,31 mg,< 1 mg,148 mg,3 mg,0.3 g,,,
"Cappuccino, whole milk",cup (8 fl. oz),73,4 g,2 g,,,10 mg,47 mg,6 g,5.3 g,4 g,134 mg,,,134 mg,,,50 mg,,
"Caffe Latte, whole milk",cup (8 fl. oz),136,7 g,4.4 g,,,30 mg,104 mg,11 g,9.6 g,7 g,240 mg,,,300 mg,,,,,
Ground Coffee,fl.oz (1 oz),0,< 0.1 g,< 0.1 g,< 0.1 g,< 0.1 g,,< 1 mg,,,< 0.1 g,< 1 mg,15 mg,< 1 mg,,,,12 mg,,
"Red Potatoes, baked, flesh & skin","small, 2"" dia. (4.9 oz)",123,0.2 g,< 0.1 g,< 0.1 g,< 0.1 g,,11 mg,27 g,2 g,3.2 g,12 mg,752 mg,< 1 mg,14 mg,17 mg,2.5 g,,,
