,18,Adjusted Protein,Alanine,"Alcohol, ethyl",Arginine,Ash,Aspartic acid,Beta-sitosterol,Betaine,Butanoic acid,Caffeine,"Calcium, Ca",Calories,Campesterol,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,"Cis,cis,cis-octadecatrienoic n-3 acid","Cis,cis,cis-octadecatrienoic n-6 acid","Cis,cis-eicosadienoic n-6 acid","Cis,cis-octadecadienoic n-6 acid",Cis-hexadecenoic acid,Cis-octadecenoic acid,"Copper, Cu","Cryptoxanthin, beta",Cystine,Decanoic acid,Dihydrophylloquinone,Docosahexaenoic n-3 acid,Docosanoic acid,Docosapentaenoic n-3 acid,Docosatetraenoic acid,Docosenoic acid,Docosenoic cis acid,Docosenoic trans acid,Dodecanoic acid,Eicosadienoic acid,Eicosadienoic n-3 acid,Eicosadienoic n-6 acid,Eicosanoic acid,Eicosapentaenoic n-3 acid,Eicosatetraenoic acid,Eicosenoic acid,Fat,"Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic",Fiber,"Fluoride, F",Folate,Folic acid,Fructose,Galactose,Glucose (dextrose),Glutamic acid,Glycine,Heptadecanoic acid,Heptadecenoic acid,Hexadecanoic acid,Hexadecenoic acid,Hexanoic acid,Histidine,Hydroxyproline,Irans-Octadecadienoic acid,"Iron, Fe",Isoleucine,Lactose,Leucine,Lutein + zeaxanthin,Lycopene,Lysine,"Magnesium, Mg",Maltose,"Manganese, Mn",Menaquinone-4,Methionine,Monounsaturated fatty acids,Niacin,Octadecadienoic CLAs acid,Octadecadienoic acid,Octadecanoic acid,Octadecatetraenoic acid,Octadecatrienoic acid,Octadecenoic acid,Octanoic acid,Pantothenic acid,Pentadecanoic acid,Pentadecenoic acid,Phenylalanine,"Phosphorus, P",Phytosterols,Polyunsaturated fatty acids,"Potassium, K",Proline,Protein,Riboflavin,Saturated fatty acids,"Selenium, Se",Serine,Serving Size,"Sodium, Na",Starch,Stigmasterol,Sucrose,Sugars,Tetracosanoic acid,Tetracosenoic cis acid,Tetradecanoic acid,Tetradecenoic acid,Theobromine,Thiamin,Threonine,"Tocopherol, alpha","Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma","Trans,trans-octadecadienoic acid",Trans-hexadecenoic acid,Trans-octadecadienoic acid,Trans-octadecatrienoic acid,Trans-octadecenoic acid,Tridecanoic acid,Tryptophan,Tyrosine,Uncosapentaenoic acid,Valine,Vitamin A,"Vitamin A, RAE",Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E,Vitamin K,Water,"Zinc, Zn"
"APPLEBEE'S, Double Crunch Shrimp",,,0.622 g,,0.894 g,2.71 g,1.075 g,,,0.000 g,,45.00 mg,323,,25.96 g,,,86.00 mg,50.1 mg,0.977 g,0.090 g,0.010 g,8.379 g,0.033 g,4.018 g,0.140 mg,,0.167 g,0.005 g,0.0 mcg,0.030 g,0.063 g,0.004 g,0.003 g,0.000 g,0.000 g,0.000 g,0.002 g,0.000 g,0.000 g,0.000 g,0.065 g,0.034 g,0.030 g,0.131 g,18.90 g,0.147 g,0.042 g,0.105 g,2.6 g,,14.00 mcg,,0.20 g,0.00 g,0.07 g,2.680 g,0.582 g,0.022 g,0.011 g,1.991 g,0.035 g,0.000 g,0.263 g,,,1.03 mg,0.526 g,0.00 g,0.959 g,,,0.829 g,23.00 mg,0.50 g,0.281 mg,0.0 mcg,0.282 g,4.235 g,0.900 mg,0.021 g,8.505 g,1.163 g,0.000 g,1.067 g,4.058 g,0.006 g,0.340 mg,0.006 g,0.000 g,0.550 g,271.00 mg,,9.682 g,97.00 mg,0.792 g,12.31 g,0.089 mg,3.366 g,26.6 mcg,0.486 g,100 g,838.00 mg,22.80 g,,0.30 g,1.07 g,0.023 g,0.000 g,0.020 g,0.000 g,,0.090 mg,0.447 g,1.97 mg,0.22 mg,3.35 mg,8.31 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,0.002 g,0.105 g,0.000 g,0.040 g,,0.139 g,0.415 g,,0.548 g,5.00 IU,2.00 mcg,0.43 mcg,0.055 mg,,,,,1.97 mg,29.1 mcg,40.12 g,0.78 mg
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",,,,,,1.62 g,,,,,,28.00 mg,400,,68.16 g,,,6.00 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05 g,3.360 g,,,2.1 g,,56.00 mcg,,,,,,,,,,,,,,,2.26 mg,,,,,,,,,,,,4.820 g,1.990 mg,,,,,,,,,,,,,,1.110 g,159.00 mg,,4.67 g,0.170 mg,2.760 g,,,100 g,331.00 mg,,,,34.27 g,,,,,,0.280 mg,,,,,,,,,,,,,,,,,,,,13.00 IU,,,,,,,,,,13.49 g,
"Alcoholic beverage, light, beer",,,0.010 g,3.1 g,0.000 g,0.09 g,0.013 g,,,0.000 g,0.00 mg,4.00 mg,29,,1.64 g,0.00 mcg,0.00 mcg,0.00 mg,8.8 mg,,,,,,,0.006 mg,0.00 mcg,0.000 g,0.000 g,0.0 mcg,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.00 g,0.000 g,,,0.0 g,45.3 mcg,6.00 mcg,0.00 mcg,0.00 g,0.00 g,0.09 g,0.039 g,0.011 g,,,0.000 g,0.000 g,0.000 g,0.000 g,,,0.03 mg,0.000 g,0.00 g,0.000 g,0.00 mcg,0.00 mcg,0.000 g,5.00 mg,0.00 g,0.006 mg,,0.000 g,0.000 g,0.391 mg,,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.030 mg,,,0.000 g,12.00 mg,,0.000 g,21.00 mg,0.029 g,0.24 g,0.015 mg,0.000 g,0.4 mcg,0.000 g,100 g,4.00 mg,0.00 g,,0.00 g,0.09 g,,,0.000 g,,0.00 mg,0.005 mg,0.000 g,0.00 mg,,,,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.02 mcg,0.034 mg,0.0 mg,0.00 IU,,,0.00 mg,0.0 mcg,94.88 g,0.01 mg
"Alcoholic beverage, white, table, wine",,,,10.3 g,,0.20 g,,,,0.000 g,0.00 mg,9.00 mg,82,,2.60 g,0.00 mcg,0.00 mcg,0.00 mg,4.3 mg,,,,,,,0.004 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.00 g,0.000 g,,,0.0 g,202.0 mcg,1.00 mcg,0.00 mcg,,,,,,,,0.000 g,0.000 g,0.000 g,,,,0.27 mg,,,,0.00 mcg,0.00 mcg,,10.00 mg,,0.117 mg,,,0.000 g,0.108 mg,,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.045 mg,,,,18.00 mg,,0.000 g,71.00 mg,,0.07 g,0.015 mg,0.000 g,0.1 mcg,,100 g,5.00 mg,,,,0.96 g,,,0.000 g,,0.00 mg,0.005 mg,,0.00 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.050 mg,0.0 mg,0.00 IU,,,0.00 mg,0.4 mcg,86.86 g,0.12 mg
"Apples, with skin, fuji, raw",,,,,,0.24 g,,,,,,7.00 mg,63,,15.22 g,0.00 mcg,17.00 mcg,,3.4 mg,,,,,,,0.025 mg,11.00 mcg,,,0.0 mcg,,,,,,,,,,,,,,,,0.18 g,0.000 g,,,2.1 g,,3.00 mcg,,6.47 g,0.00 g,3.00 g,,,,,,,,,,,0.10 mg,,0.00 g,,11.00 mcg,0.00 mcg,,5.00 mg,0.00 g,0.031 mg,,,,0.070 mg,,,,,,,,0.051 mg,,,,13.00 mg,,,109.00 mg,,0.20 g,0.026 mg,,0.0 mcg,,100 g,1.00 mg,0.05 g,,2.21 g,11.68 g,,,,,,0.013 mg,,0.18 mg,,,,,,,,,,,,,,,,,,38.00 IU,2.00 mcg,,0.045 mg,,,,,0.18 mg,1.0 mcg,84.16 g,0.04 mg
"Apples, with skin, raw",,,0.011 g,,0.006 g,,0.070 g,,0.1 mg,0.000 g,,6.00 mg,52,,13.81 g,0.00 mcg,27.00 mcg,0.00 mg,3.4 mg,,,,,,,0.027 mg,11.00 mcg,0.001 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.17 g,0.000 g,,,2.4 g,3.3 mcg,3.00 mcg,0.00 mcg,5.90 g,0.00 g,2.43 g,0.025 g,0.009 g,,,0.024 g,0.000 g,0.000 g,0.005 g,,,0.12 mg,0.006 g,0.00 g,0.013 g,29.00 mcg,0.00 mcg,0.012 g,5.00 mg,0.00 g,0.035 mg,,0.001 g,0.007 g,0.091 mg,,0.043 g,0.003 g,0.000 g,0.009 g,0.007 g,0.000 g,0.061 mg,,,0.006 g,11.00 mg,12.00 mg,0.051 g,107.00 mg,0.006 g,0.26 g,0.026 mg,0.028 g,0.0 mcg,0.010 g,100 g,1.00 mg,0.05 g,,2.07 g,10.39 g,,,0.001 g,,,0.017 mg,0.006 g,0.18 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,,,,,0.001 g,0.001 g,,0.012 g,54.00 IU,3.00 mcg,0.00 mcg,0.041 mg,4.6 mg,0.00 IU,,,0.18 mg,2.2 mcg,,0.04 mg
"Apples, without skin, raw",,,0.012 g,,0.006 g,,0.074 g,,,0.000 g,,5.00 mg,48,,12.76 g,0.00 mcg,17.00 mcg,0.00 mg,3.4 mg,,,,,,,0.031 mg,13.00 mcg,0.001 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.13 g,0.000 g,,,1.3 g,,0.00 mcg,0.00 mcg,6.03 g,0.00 g,3.25 g,0.026 g,0.009 g,,,0.017 g,0.000 g,0.000 g,0.005 g,,,0.07 mg,0.006 g,0.00 g,0.014 g,18.00 mcg,0.00 mcg,0.013 g,4.00 mg,0.00 g,0.038 mg,,0.001 g,0.005 g,0.091 mg,,0.031 g,0.002 g,0.000 g,0.007 g,0.005 g,0.000 g,0.071 mg,,,0.007 g,11.00 mg,,0.037 g,90.00 mg,0.006 g,0.27 g,0.028 mg,0.021 g,0.0 mcg,0.011 g,100 g,0.00 mg,,,0.82 g,10.10 g,,,0.000 g,,,0.019 mg,0.006 g,0.05 mg,0.01 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.001 g,0.001 g,,0.012 g,38.00 IU,2.00 mcg,0.00 mcg,0.037 mg,4.0 mg,0.00 IU,,,0.05 mg,0.6 mcg,,0.05 mg
"Asparagus, drained solids, canned",,,0.101 g,0.0 g,0.100 g,0.77 g,0.248 g,,0.7 mg,0.000 g,0.00 mg,16.00 mg,19,,2.46 g,0.00 mcg,493.00 mcg,0.00 mg,21.4 mg,,,,,,,0.096 mg,0.00 mcg,0.025 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.002 g,,,,,0.000 g,0.000 g,0.000 g,0.65 g,0.000 g,,,1.6 g,,96.00 mcg,0.00 mcg,,,,0.350 g,0.069 g,,,0.132 g,0.004 g,0.000 g,0.033 g,,,1.83 mg,0.079 g,,0.093 g,630.00 mcg,24.00 mcg,0.101 g,10.00 mg,,0.170 mg,,0.021 g,0.021 g,0.954 mg,,0.269 g,0.009 g,0.000 g,0.015 g,0.017 g,0.000 g,0.139 mg,,,0.051 g,43.00 mg,,0.284 g,172.00 mg,0.114 g,2.14 g,0.100 mg,0.147 g,1.7 mcg,0.081 g,100 g,287.00 mg,,,,1.06 g,,,0.004 g,,0.00 mg,0.061 mg,0.060 g,1.22 mg,,,,,,,,,,,,,,0.021 g,0.034 g,,0.082 g,822.00 IU,41.00 mcg,0.00 mcg,0.110 mg,18.4 mg,0.00 IU,,,1.22 mg,41.3 mcg,93.98 g,0.40 mg
"Asparagus, raw",,,0.115 g,0.0 g,0.091 g,0.58 g,0.508 g,,0.6 mg,0.000 g,0.00 mg,24.00 mg,20,,3.88 g,9.00 mcg,449.00 mcg,0.00 mg,16.0 mg,,,0.000 g,,,,0.189 mg,0.00 mcg,0.031 g,0.000 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,0.000 g,,,0.000 g,0.000 g,0.000 g,0.000 g,0.12 g,0.000 g,,,2.1 g,,52.00 mcg,0.00 mcg,1.00 g,0.00 g,0.65 g,0.233 g,0.093 g,0.000 g,0.000 g,0.040 g,0.000 g,0.000 g,0.049 g,,,2.14 mg,0.075 g,0.00 g,0.128 g,710.00 mcg,0.00 mcg,0.104 g,14.00 mg,0.00 g,0.158 mg,,0.031 g,0.000 g,0.978 mg,,0.040 g,0.000 g,0.000 g,0.010 g,0.000 g,0.000 g,0.274 mg,0.000 g,0.000 g,0.075 g,52.00 mg,24.00 mg,0.050 g,202.00 mg,0.071 g,2.20 g,0.141 mg,0.040 g,2.3 mcg,0.106 g,100 g,2.00 mg,,,0.23 g,1.88 g,0.000 g,,0.000 g,0.000 g,0.00 mg,0.143 mg,0.084 g,1.13 mg,0.00 mg,0.00 mg,0.09 mg,,,,,,,,,,,0.027 g,0.052 g,,0.115 g,756.00 IU,38.00 mcg,0.00 mcg,0.091 mg,5.6 mg,0.00 IU,,,1.13 mg,41.6 mcg,93.22 g,0.54 mg
"Asparagus, unprepared, frozen",,,0.152 g,0.0 g,0.151 g,0.62 g,0.374 g,,,0.000 g,,25.00 mg,24,,4.10 g,,,0.00 mg,,,,,,,,0.137 mg,,0.038 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.001 g,,,,,0.000 g,0.000 g,0.000 g,0.23 g,0.000 g,,,1.9 g,,191.00 mcg,0.00 mcg,,,,0.528 g,0.105 g,,,0.047 g,0.001 g,0.000 g,0.050 g,,,0.73 mg,0.119 g,,0.140 g,,,0.153 g,14.00 mg,,0.203 mg,,0.031 g,0.007 g,1.202 mg,,0.096 g,0.003 g,0.000 g,0.005 g,0.006 g,0.000 g,0.184 mg,,,0.076 g,64.00 mg,,0.101 g,253.00 mg,0.171 g,3.23 g,0.131 mg,0.052 g,1.7 mcg,0.123 g,100 g,8.00 mg,,,,,,,0.001 g,,,0.121 mg,0.090 g,,,,,,,,,,,,,,,0.031 g,0.051 g,,0.124 g,948.00 IU,47.00 mcg,0.00 mcg,0.111 mg,31.8 mg,0.00 IU,,,,,91.82 g,0.59 mg
